iter	Passed	Remaining
0	118	118642
1	120	59950
2	121	40429
3	123	30677
4	124	24795
5	125	20843
6	127	18069
7	129	16011
8	130	14387
9	132	13089
10	133	11989
11	135	11189
12	137	10411
13	138	9765
14	139	9189
15	141	8685
16	142	8248
17	144	7904
18	146	7551
19	147	7228
20	149	6951
21	150	6682
22	152	6495
23	156	6381
24	158	6180
25	159	5992
26	161	5805
27	163	5663
28	164	5512
29	165	5364
30	167	5228
31	168	5094
32	169	4976
33	171	4866
34	172	4762
35	174	4682
36	176	4587
37	177	4499
38	178	4410
39	180	4324
40	181	4244
41	184	4205
42	187	4164
43	188	4094
44	189	4024
45	191	3965
46	192	3902
47	193	3845
48	195	3797
49	198	3762
50	199	3716
51	201	3670
52	202	3621
53	205	3594
54	207	3556
55	208	3512
56	209	3465
57	210	3420
58	212	3382
59	213	3341
60	214	3299
61	215	3261
62	217	3230
63	218	3193
64	219	3161
65	221	3129
66	222	3102
67	224	3070
68	225	3038
69	226	3009
70	227	2980
71	229	2953
72	230	2927
73	231	2899
74	233	2874
75	234	2849
76	235	2822
77	237	2808
78	238	2785
79	240	2767
80	242	2749
81	243	2727
82	244	2703
83	246	2688
84	248	2673
85	249	2652
86	250	2632
87	252	2614
88	253	2595
89	255	2579
90	256	2560
91	257	2543
92	259	2527
93	260	2509
94	261	2493
95	263	2478
96	264	2460
97	265	2446
98	267	2431
99	268	2416
100	270	2404
101	271	2390
102	272	2376
103	274	2362
104	275	2350
105	277	2337
106	278	2323
107	279	2311
108	281	2298
109	282	2286
110	283	2273
111	285	2261
112	286	2247
113	287	2235
114	288	2223
115	290	2212
116	291	2198
117	292	2186
118	294	2176
119	295	2165
120	296	2154
121	297	2141
122	298	2130
123	300	2120
124	301	2109
125	302	2099
126	303	2087
127	304	2077
128	306	2067
129	307	2056
130	308	2047
131	309	2036
132	310	2026
133	312	2017
134	313	2007
135	314	1998
136	315	1990
137	317	1980
138	318	1971
139	319	1961
140	320	1953
141	321	1942
142	322	1933
143	323	1924
144	324	1915
145	326	1907
146	327	1899
147	328	1889
148	329	1881
149	330	1874
150	331	1865
151	333	1858
152	334	1850
153	335	1842
154	336	1835
155	337	1828
156	338	1820
157	340	1813
158	341	1806
159	342	1798
160	343	1789
161	344	1782
162	345	1774
163	347	1768
164	348	1762
165	349	1755
166	350	1747
167	351	1741
168	353	1736
169	354	1732
170	356	1727
171	357	1721
172	358	1715
173	360	1709
174	361	1704
175	362	1698
176	364	1692
177	365	1686
178	366	1680
179	367	1674
180	369	1670
181	370	1664
182	371	1658
183	372	1653
184	374	1649
185	376	1645
186	377	1641
187	378	1635
188	380	1630
189	382	1632
190	384	1627
191	385	1622
192	386	1616
193	387	1611
194	388	1605
195	390	1600
196	391	1595
197	392	1590
198	393	1585
199	394	1579
200	396	1574
201	397	1570
202	398	1565
203	400	1561
204	401	1556
205	402	1551
206	403	1546
207	404	1541
208	406	1537
209	407	1532
210	408	1527
211	409	1523
212	410	1518
213	412	1515
214	415	1515
215	416	1511
216	417	1507
217	418	1502
218	420	1499
219	421	1494
220	422	1489
221	423	1485
222	424	1480
223	426	1476
224	427	1471
225	428	1467
226	429	1462
227	430	1458
228	432	1454
229	433	1450
230	434	1445
231	435	1441
232	436	1437
233	437	1433
234	438	1428
235	440	1424
236	441	1420
237	442	1416
238	443	1412
239	444	1407
240	445	1403
241	446	1399
242	447	1394
243	449	1391
244	450	1387
245	451	1383
246	452	1378
247	453	1374
248	454	1371
249	455	1367
250	457	1364
251	458	1360
252	459	1356
253	460	1353
254	461	1349
255	463	1346
256	464	1343
257	465	1340
258	467	1336
259	468	1333
260	469	1329
261	471	1326
262	472	1323
263	473	1320
264	474	1316
265	475	1313
266	477	1309
267	478	1306
268	479	1302
269	480	1299
270	481	1295
271	482	1292
272	483	1288
273	484	1284
274	486	1281
275	487	1278
276	488	1274
277	489	1271
278	490	1267
279	491	1264
280	492	1261
281	494	1258
282	495	1254
283	496	1250
284	497	1247
285	498	1244
286	499	1241
287	500	1237
288	501	1234
289	502	1231
290	503	1227
291	505	1224
292	506	1221
293	507	1218
294	508	1215
295	509	1212
296	510	1208
297	511	1205
298	512	1202
299	514	1199
300	515	1196
301	516	1193
302	517	1190
303	518	1187
304	519	1184
305	520	1181
306	522	1178
307	523	1175
308	524	1172
309	525	1169
310	526	1165
311	527	1162
312	528	1159
313	529	1156
314	530	1153
315	531	1150
316	532	1148
317	533	1145
318	535	1142
319	536	1140
320	537	1136
